epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6836149096488953,0.0010000000474974513,1.1719399690628052,0.8781531453132629,0.4699082374572754
1,0.765625,0.0010000000474974513,0.7315680384635925,0.8799549341201782,0.46409785747528076
2,0.8618031740188599,0.0010000000474974513,0.5378684997558594,0.9364864826202393,0.2947976589202881
3,0.8828125,0.0010000000474974513,0.36802807450294495,0.9373874068260193,0.29510077834129333
4,0.8874072432518005,0.0010000000474974513,0.45516419410705566,0.9417792558670044,0.2777777314186096
5,0.875,0.0010000000474974513,0.383022278547287,0.9418919086456299,0.2772959768772125
6,0.9002656936645508,0.0010000000474974513,0.4130731523036957,0.9376125931739807,0.28982242941856384
7,0.9140625,0.0010000000474974513,0.40432223677635193,0.9377252459526062,0.29103565216064453
8,0.9055544137954712,0.0010000000474974513,0.39091694355010986,0.9345721006393433,0.2989414930343628
9,0.8984375,0.0005000000237487257,0.49551358819007874,0.9350225329399109,0.29823195934295654
10,0.9213454723358154,0.0005000000237487257,0.34250885248184204,0.9476351141929626,0.248142272233963
11,0.90625,0.0005000000237487257,0.39025014638900757,0.9472972750663757,0.24871139228343964
12,0.9238896369934082,0.0005000000237487257,0.3257328271865845,0.9510135054588318,0.23446124792099
13,0.890625,0.0005000000237487257,0.5012596845626831,0.9507882595062256,0.23538285493850708
14,0.9260452389717102,0.0005000000237487257,0.31314215064048767,0.9511260986328125,0.22382916510105133
15,0.9609375,0.0005000000237487257,0.2670716643333435,0.9511260986328125,0.2234850376844406
16,0.9281131029129028,0.0005000000237487257,0.30243194103240967,0.9465090036392212,0.2328687459230423
17,0.875,0.0005000000237487257,0.3432556092739105,0.9465090036392212,0.2329520881175995
18,0.929266095161438,0.0005000000237487257,0.2917686402797699,0.9489864706993103,0.2258419543504715
19,0.9296875,0.0002500000118743628,0.2954009175300598,0.9490991234779358,0.22595207393169403
20,0.9329005479812622,0.0002500000118743628,0.27434006333351135,0.9525901079177856,0.20700135827064514
21,0.9453125,0.0002500000118743628,0.27711212635040283,0.9530405402183533,0.20738175511360168
22,0.9348180294036865,0.0002500000118743628,0.2642174959182739,0.9505630731582642,0.20513568818569183
23,0.984375,0.0002500000118743628,0.1431756317615509,0.9506756663322449,0.20480483770370483
24,0.9370613694190979,0.0002500000118743628,0.25547724962234497,0.9534909725189209,0.19722382724285126
25,0.8828125,0.0002500000118743628,0.34636378288269043,0.9534909725189209,0.1974305659532547
26,0.9371992349624634,0.0002500000118743628,0.252268522977829,0.9536036252975464,0.19430193305015564
27,0.9296875,0.0002500000118743628,0.2033758908510208,0.9538288116455078,0.1942681074142456
28,0.939267098903656,0.0002500000118743628,0.2430911660194397,0.9556306600570679,0.19217579066753387
29,0.9765625,0.0002500000118743628,0.17851905524730682,0.9556306600570679,0.19184617698192596
